entity1,relation,entity2,merged_sentence,label
The Selenium IDE,provides,playback tool,the selenium ide provides playback tool,T
The Selenium IDE,provides,authoring tests,the selenium ide provides authoring tests,T
Selenium,deploys on,Windows,selenium deploys on windows,T
Selenium,deploys on,Linux,selenium deploys on linux,T
Selenium,deploys on,Macintosh platforms,selenium deploys on macintosh platforms,T
Selenium,was originally developed by,Jason Huggins,selenium was originally developed by jason huggins,T
Selenium,released under,the Apache 2.0 license,selenium released under the apache 2.0 license,T
Selenium IDE,allows,debugging tests,selenium ide allows debugging tests,T
Selenium IDE,is implemented as,a firefox extension,selenium ide is implemented as a firefox extension,T
Selenium IDE,was previously known as,Selenium Recorder,selenium ide was previously known as selenium recorder,T
Selenium IDE,was originally created by,Shinya Kasatani,selenium ide was originally created by shinya kasatani,T
Selenium IDE,donated to,the Selenium project,selenium ide donated to the selenium project,T
Selenium Recorder,allows,debugging tests,selenium recorder allows debugging tests,T
Selenium Recorder,is implemented as,a firefox plugin,selenium recorder is implemented as a firefox plugin,T
Selenium Recorder,was initially created by,SauceLabs,selenium recorder was initially created by saucelabs,T
Flutter development,is currently supported on,Linux,flutter development is currently supported on linux,T
Flutter development,is currently supported on,Mac OS X,flutter development is currently supported on mac os x,T
Flutter development,is currently supported on,Windows operating systems,flutter development is currently supported on windows operating systems,T
Flutter,is developed,Google,flutter is developed google,T
Flutter,uses,WebView,flutter uses webview,T
Flutter,uses,the OEM widgets,flutter uses the oem widgets,T
Flutter,own,performance rendering engine,flutter own performance rendering engine,T
Flutter,offers,engine performance,flutter offers engine performance,T
Flutter,offers,fast development experience,flutter offers fast development experience,T
Flutter,offers,fast runtime,flutter offers fast runtime,T
SOAP,tries to model,the exchange,soap tries to model the exchange,T
Qt,is available with,open source licenses,qt is available with open source licenses,T
Qt,was created by,Trolltech,qt was created by trolltech,T
Qt,was acquired by,Nokia,qt was acquired by nokia,T
Qt,is managed by,the Qt Company,qt is managed by the qt company,T
Qt,aims at creating,creating Qt applications,qt aims at creating creating qt applications,T
Qt,can be used to create,regular C++ applications,qt can be used to create regular c++ applications,T
Apache Maven,can manage,a project's build,apache maven can manage a project's build,T
Apache Maven,can manage,reporting,apache maven can manage reporting,T
Apache Maven,can manage,documentation,apache maven can manage documentation,T
Apache Maven,adheres to,the principle,apache maven adheres to the principle,T
a global Super POM,defined,common properties,a global super pom defined common properties,T
Each POM file,inherits from,a global Super POM,each pom file inherits from a global super pom,T
Android Studio,provides integrated,Android developer tools,android studio provides integrated android developer tools,T
Vue.js,requires,an intermediate level,vue.js requires an intermediate level,T
Vue.js,is mainly used for,end development,vue.js is mainly used for end development,T
Vue,embraces,manual updates,vue embraces manual updates,T
Vue,can be built upon,increasing Vue functionality,vue can be built upon increasing vue functionality,T
URL redirection using mod_rewrite,provide,URLs,url redirection using mod_rewrite provide urls,T
URL redirection using mod_rewrite,is used by,SEO purposes,url redirection using mod_rewrite is used by seo purposes,T
TensorFlow,provides,a python API,tensorflow provides a python api,T
TensorFlow,executing,executing data flow graphs,tensorflow executing executing data flow graphs,T
TensorFlow,includes,TensorBoard,tensorflow includes tensorboard,T
The TensorFlow community,tends to favor,Ubuntu Linux,the tensorflow community tends to favor ubuntu linux,T
TensorFlow,is released under,an Apache 2.0 License,tensorflow is released under an apache 2.0 license,T
Symfony,refers to,a PHP framework,symfony refers to a php framework,T
Symfony,aims to speed,maintenance,symfony aims to speed maintenance,T
Symfony,replace,repetitive coding tasks,symfony replace repetitive coding tasks,T
Symfony,is aimed at,robust applications,symfony is aimed at robust applications,T
Symfony,help,developers test,symfony help developers test,T
Symfony,help,debug,symfony help debug,T
Symfony,help,document projects,symfony help document projects,T
CodeIgniter,is loosely based on,Controller development pattern,codeigniter is loosely based on controller development pattern,T
Apache Spark,offers,a general execution model,apache spark offers a general execution model,T
Apache Spark,is not tied to,stage mapreduce paradigm,apache spark is not tied to stage mapreduce paradigm,T
Spark,provides,primitives,spark provides primitives,T
memory cluster computing,allows,user programs,memory cluster computing allows user programs,T
Spark,provides,memory cluster computing,spark provides memory cluster computing,T
Spark,can be used to tackle,stream processing problems,spark can be used to tackle stream processing problems,T
Apache Spark,provides,concise APIs,apache spark provides concise apis,T
Apache Spark,provides,java,apache spark provides java,T
Apache Spark,provides,python,apache spark provides python,T
Apache Spark,provides,r,apache spark provides r,T
Apache Spark,provides,scala,apache spark provides scala,T
A date,consists of,year,a date consists of year,T
A date,consists of,month,a date consists of month,T
A date,consists of,day,a date consists of day,T
A date,does not refer to,a specific moment,a date does not refer to a specific moment,T
A date,does not refer to,time,a date does not refer to time,T
the Date type,represents,a date,the date type represents a date,T
the Date type,represents,time,the date type represents time,T
